,State,Town,University
535,Washington,Chesapeake ,"Averett University, DeVry University, Troy University, Tidewater Community College, Strayer University, Everest University, Sentera College of Health Sciences, St Leo University"
536,Washington,Bellingham ,Western Washington University
537,Washington,Cheney ,Eastern Washington University
538,Washington,Ellensburg ,Central Washington University
539,Washington,Pullman ,Washington State University
540,Washington,"University District, Seattle ",University of Washington
541,West Virginia,"University District, Seattle ",University of Washington
542,West Virginia,Athens ,Concord University
543,West Virginia,Buckhannon ,West Virginia Wesleyan College
544,West Virginia,Fairmont ,Fairmont State University
545,West Virginia,Glenville ,Glenville State College
546,West Virginia,Huntington ,Marshall University
547,West Virginia,Montgomery ,West Virginia University Institute of Technology
548,West Virginia,Morgantown ,West Virginia University
549,West Virginia,Shepherdstown ,Shepherd University
550,West Virginia,West Liberty ,West Liberty University
551,Wisconsin,West Liberty ,West Liberty University
552,Wisconsin,Appleton ,Lawrence University
553,Wisconsin,Eau Claire ,University of Wisconsin
554,Wisconsin,Green Bay ,University of Wisconsin
555,Wisconsin,La Crosse ,University of Wisconsin
556,Wisconsin,Madison ,University of Wisconsin
557,Wisconsin,Menomonie ,University of Wisconsin
558,Wisconsin,Milwaukee ,"Marquette University, University of Wisconsin"
559,Wisconsin,Oshkosh ,University of Wisconsin
560,Wisconsin,Platteville ,University of Wisconsin
561,Wisconsin,River Falls ,University of Wisconsin
562,Wisconsin,Stevens Point ,University of Wisconsin
563,Wisconsin,Waukesha ,Carroll University
564,Wisconsin,Whitewater ,University of Wisconsin
565,Wyoming,Whitewater ,University of Wisconsin
566,Wyoming,Laramie ,University of Wyoming
